                Years_Till_Victim         VVictim_A18           B18_INCAF          B18_ARREST                JIJF
nbr.val        8961.0000000000000 8526.00000000000000 8961.00000000000000 8961.00000000000000 8961.00000000000000
nbr.null          0.0000000000000 7498.00000000000000 8852.00000000000000 7470.00000000000000 8772.00000000000000
nbr.na            0.0000000000000  435.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000
min               1.0000000000000    0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000
max              16.0000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000
range            15.0000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000
sum          112181.0000000000000 1028.00000000000000  109.00000000000000 1491.00000000000000  189.00000000000000
median           13.0000000000000    0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000
mean             12.5188037049436    0.12057236687779    0.01216382100212    0.16638767994643    0.02109139604955
SE.mean           0.0321931563749    0.00352676687647    0.00115803975675    0.00393449176339    0.00151799286912
CI.mean.0.95      0.0631059517131    0.00691331759821    0.00227002286201    0.00771250399760    0.00297561331309
var               9.2871742830041    0.10604710930788    0.01201720351683    0.13871830013391    0.02064885336458
std.dev           3.0474865517347    0.32564875142993    0.10962300633000    0.37244905709897    0.14369708892173
coef.var          0.2434327291618    2.70085725164555    9.01221797911116    2.23844131499926    6.81306673982874
                           PIB16            Hispanic               White               Black                Male
nbr.val      7690.00000000000000 8938.00000000000000 8882.00000000000000 8882.00000000000000 8961.00000000000000
nbr.null     7153.00000000000000 7044.00000000000000 3659.00000000000000 6501.00000000000000 4376.00000000000000
nbr.na       1271.00000000000000   23.00000000000000   79.00000000000000   79.00000000000000    0.00000000000000
min             0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000
max             1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000
range           1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000
sum           537.00000000000000 1894.00000000000000 5223.00000000000000 2381.00000000000000 4585.00000000000000
median          0.00000000000000    0.00000000000000    1.00000000000000    0.00000000000000    1.00000000000000
mean            0.06983094928479    0.21190422913403    0.58804323350597    0.26807025444720    0.51166164490570
SE.mean         0.00290649771002    0.00432278296834    0.00522275331975    0.00470032704504    0.00528077719817
CI.mean.0.95    0.00569752770727    0.00847364653964    0.01023780368299    0.00921372743205    0.01035153145580
var             0.06496303553571    0.16701951326174    0.24227566618605    0.19623068620214    0.24989189264591
std.dev         0.25487847209152    0.40868020904093    0.49221506090941    0.44297932931700    0.49989188095618
coef.var        3.64993566179481    1.92860808258068    0.83703889929109    1.65247475976213    0.97699697824391
                           Sample                HT97                 HHNW97               BMEA97              BFEA97
nbr.val       8961.00000000000000 7861.00000000000000        6608.0000000000   8267.0000000000000  7102.0000000000000
nbr.null         0.00000000000000 7426.00000000000000           3.0000000000      0.0000000000000     0.0000000000000
nbr.na           0.00000000000000 1100.00000000000000        2353.0000000000    694.0000000000000  1859.0000000000000
min              1.00000000000000    0.00000000000000     -935251.0000000000      1.0000000000000     1.0000000000000
max              2.00000000000000    1.00000000000000      600000.0000000000     20.0000000000000    20.0000000000000
range            1.00000000000000    1.00000000000000     1535251.0000000000     19.0000000000000    19.0000000000000
sum          11193.00000000000000  435.00000000000000   595284177.0000000000 102800.0000000000000 89208.0000000000000
median           1.00000000000000    0.00000000000000       34500.0000000000     12.0000000000000    12.0000000000000
mean             1.24907934382323    0.05533647118687       90085.3778753027     12.4349824603847    12.5609687411997
SE.mean          0.00456890236095    0.00257889126776        1688.0688880621      0.0320499766308     0.0380897245717
CI.mean.0.95     0.00895609391061    0.00505531247250        3309.1604414447      0.0628259992947     0.0746672153237
var              0.18705969917261    0.05228099682363 18830001980.1318969727      8.4918706838201    10.3037741916717
std.dev          0.43250398746440    0.22865038120158      137222.4543583589      2.9140814476984     3.2099492506380
coef.var         0.34625821778509    4.13200148649566           1.5232489178      0.2343454409350     0.2555494975566
                      RPHEALTH97              PPSM97              PPDR97              PPIG97              PPID97
nbr.val       7922.0000000000000  8849.0000000000000  8777.0000000000000  8790.0000000000000  8736.0000000000000
nbr.null         0.0000000000000     0.0000000000000     0.0000000000000     0.0000000000000     0.0000000000000
nbr.na        1039.0000000000000   112.0000000000000   184.0000000000000   171.0000000000000   225.0000000000000
min              1.0000000000000     1.0000000000000     1.0000000000000     1.0000000000000     1.0000000000000
max              5.0000000000000     5.0000000000000     5.0000000000000     5.0000000000000     5.0000000000000
range            4.0000000000000     4.0000000000000     4.0000000000000     4.0000000000000     4.0000000000000
sum          29125.0000000000000 23103.0000000000000 18729.0000000000000 14020.0000000000000 20148.0000000000000
median           4.0000000000000     3.0000000000000     2.0000000000000     1.0000000000000     2.0000000000000
mean             3.6764705882353     2.6108034806193     2.1338726216247     1.5949943117179     2.3063186813187
SE.mean          0.0123415983924     0.0136393804084     0.0132953148122     0.0104621979597     0.0140101687919
CI.mean.0.95     0.0241927851183     0.0267363517704     0.0260619325854     0.0205083554727     0.0274632316813
var              1.2066398330573     1.6462033439481     1.5514698803089     0.9621321822409     1.7147442711839
std.dev          1.0984715895540     1.2830445603907     1.2455801380517     0.9808833683170     1.3094824440151
coef.var         0.2987842723587     0.4914366668786     0.5837181307961     0.6149760918336     0.5677803569047
                          PPHS97             THAS97             PFAS97               LFS97              ABFS97
nbr.val       3943.0000000000000 8846.0000000000000 8849.0000000000000  8798.0000000000000  8664.0000000000000
nbr.null         0.0000000000000 7000.0000000000000 7290.0000000000000  5334.0000000000000  1677.0000000000000
nbr.na        5018.0000000000000  115.0000000000000  112.0000000000000   163.0000000000000   297.0000000000000
min              1.0000000000000    0.0000000000000    0.0000000000000     0.0000000000000     0.0000000000000
max              5.0000000000000   99.0000000000000   50.0000000000000    99.0000000000000   200.0000000000000
range            4.0000000000000   99.0000000000000   50.0000000000000    99.0000000000000   200.0000000000000
sum          11377.0000000000000 8661.0000000000000 3547.0000000000000 21061.0000000000000 42357.0000000000000
median           3.0000000000000    0.0000000000000    0.0000000000000     0.0000000000000     3.0000000000000
mean             2.8853664722293    0.9790865928103    0.4008362526839     2.3938395089793     4.8888504155125
SE.mean          0.0203489770835    0.0556379444513    0.0181453499424     0.0739376247689     0.0816042074235
CI.mean.0.95     0.0398955117915    0.1090632916682    0.0355690980476     0.1449350229732     0.1599636570584
var              1.6327208638883   27.3835083120034    2.9135662083782    48.0966631921549    57.6957131421146
std.dev          1.2777796617134    5.2329254066921    1.7069171650605     6.9351757866802     7.5957694239698
coef.var         0.4428483085291    5.3447013217409    4.2583901870934     2.8970930426481     1.5536923363145
                          RTGAS97              RDFAS97
nbr.val       8942.00000000000000  8920.00000000000000
nbr.null         0.00000000000000     0.00000000000000
nbr.na          19.00000000000000    41.00000000000000
min              1.00000000000000     1.00000000000000
max              4.00000000000000     4.00000000000000
range            3.00000000000000     3.00000000000000
sum          26959.00000000000000 25107.00000000000000
median           3.00000000000000     3.00000000000000
mean             3.01487363006039     2.81468609865471
SE.mean          0.00658898154127     0.00828329549369
CI.mean.0.95     0.01291591497018     0.01623716432172
var              0.38821404845118     0.61202781938292
std.dev          0.62306825344514     0.78232206883285
coef.var         0.20666479922499     0.27794291846852
