                            AGE19               PIB16            Hispanic              White               Black              AIndian
nbr.val        8526.0000000000000 8526.00000000000000 8526.00000000000000 8526.0000000000000 8526.00000000000000 8526.000000000000000
nbr.null          0.0000000000000 7962.00000000000000 6699.00000000000000 3550.0000000000000 6221.00000000000000 8466.000000000000000
nbr.na            0.0000000000000    0.00000000000000    0.00000000000000    0.0000000000000    0.00000000000000    0.000000000000000
min              34.0000000000000    0.00000000000000    0.00000000000000    0.0000000000000    0.00000000000000    0.000000000000000
max              39.0000000000000    1.00000000000000    1.00000000000000    1.0000000000000    1.00000000000000    1.000000000000000
range             5.0000000000000    1.00000000000000    1.00000000000000    1.0000000000000    1.00000000000000    1.000000000000000
sum          310026.0000000000000  564.00000000000000 1827.00000000000000 4976.0000000000000 2305.00000000000000   60.000000000000000
median           36.0000000000000    0.00000000000000    0.00000000000000    1.0000000000000    0.00000000000000    0.000000000000000
mean             36.3624208304011    0.06615059817030    0.21428571428571    0.5836265540699    0.27034951911799    0.007037297677692
SE.mean           0.0160373516051    0.00269189500416    0.00444407869170    0.0053390235958    0.00481030975683    0.000905361943409
CI.mean.0.95      0.0314370949267    0.00527676644265    0.00871147101674    0.0104657798701    0.00942937264060    0.001774728774357
var               2.1928586081009    0.06178194283073    0.16838709677419    0.2430351046274    0.19728379571062    0.006988593799336
std.dev           1.4808303778964    0.24855973694613    0.41034996865382    0.4929859071285    0.44416640542776    0.083597809775950
coef.var          0.0407241966866    3.75748283191962    1.91496652038451    0.8446941005181    1.64293395777748   11.879248769162473
                           Asian               Other             Other_R                Male               Sample               BBPHH
nbr.val      8526.00000000000000 8526.00000000000000 8526.00000000000000 8526.00000000000000  8526.00000000000000 8526.00000000000000
nbr.null     8378.00000000000000 7489.00000000000000 7281.00000000000000 4189.00000000000000     0.00000000000000 4384.00000000000000
nbr.na          0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000     0.00000000000000    0.00000000000000
min             0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000     1.00000000000000    0.00000000000000
max             1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000     2.00000000000000    1.00000000000000
range           1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000     1.00000000000000    1.00000000000000
sum           148.00000000000000 1037.00000000000000 1245.00000000000000 4337.00000000000000 10685.00000000000000 4142.00000000000000
median          0.00000000000000    0.00000000000000    0.00000000000000    1.00000000000000     1.00000000000000    0.00000000000000
mean            0.01735866760497    0.12162796152944    0.14602392681210    0.50867933380249     1.25322542810228    0.48580811634999
SE.mean         0.00141451811485    0.00354004490757    0.00382461451661    0.00541448767058     0.00470978653736    0.00541312178336
CI.mean.0.95    0.00277279823671    0.00693934575638    0.00749717114007    0.01061370774123     0.00923232277410    0.01061103027133
var             0.01705934512545    0.10684713242158    0.12471556728668    0.24995398584148     0.18912449275392    0.24982789232591
std.dev         0.13061142800479    0.32687479624710    0.35315091290648    0.49995398372398     0.43488445908531    0.49982786269465
coef.var        7.52427726465430    2.68749711938547    2.41844552886797    0.98284705216294     0.34701215705768    1.02885860872395
